regime,budget,metric,left,right,left_mean,right_mean,mean_delta,median_delta,left_wins,ties,wilcoxon_p,wilcoxon_p_holm
well_joint,6,rmse_so,final_accuracy,rank_optimized_joint,0.0008980408673882701,0.00101132692023409,-0.00011328605284582,-0.00018440977331614996,7,0,0.275390625,1.0
well_joint,6,score,final_accuracy,rank_optimized_joint,0.6878836517373702,0.8045146430097079,-0.11663099127233763,-0.12441284525287377,7,0,0.16015625,1.0
well_joint,6,rmse_p,final_accuracy,original_basis_optimized_recovery,0.2757775986722084,7.776544153920726,-7.500766555248516,-9.117257113847062,10,0,0.001953125,0.703125
well_joint,6,rmse_so,final_accuracy,original_basis_optimized_recovery,0.0008980408673882701,0.044294188011386,-0.04339614714399774,-0.06253512859763445,10,0,0.001953125,0.703125
well_joint,6,score,final_accuracy,original_basis_optimized_recovery,0.6878836517373702,33.18823033482507,-32.5003466830877,-44.022985301095844,10,0,0.001953125,0.703125
well_joint,6,rmse_p,final_accuracy,prior+IDW,0.2757775986722084,0.4810740775471773,-0.20529647887496888,-0.14561458329149515,9,0,0.009765625,1.0
well_joint,6,rmse_so,final_accuracy,prior+IDW,0.0008980408673882701,0.00221947176063234,-0.00132143089324407,-0.0015041840589996001,10,0,0.001953125,0.703125
well_joint,6,score,final_accuracy,prior+IDW,0.6878836517373702,1.5604904234055224,-0.8726067716681521,-1.0139345401487516,10,0,0.001953125,0.703125
well_joint,7,rmse_p,final_accuracy,POD-E,0.2511234336682329,0.30952206948976285,-0.05839863582152997,-0.07012324407856907,9,0,0.037109375,1.0
well_joint,7,rmse_so,final_accuracy,POD-E,0.00090286795038809,0.00072095087189955,0.00018191707848854,0.00011697889160184997,0,0,0.001953125,0.703125
well_joint,7,score,final_accuracy,POD-E,0.6873520719615233,0.6149991312146942,0.07235294074682905,0.05626511427140146,3,0,0.02734375,1.0
well_joint,7,rmse_p,final_pareto,POD-E,0.27262315476928267,0.30952206948976285,-0.03689891472048028,-0.08170446446408391,8,0,0.16015625,1.0
well_joint,7,rmse_so,final_pareto,POD-E,0.0009443421626787799,0.00072095087189955,0.00022339129077923004,0.00015796255664985,1,0,0.013671875,1.0
well_joint,7,score,final_pareto,POD-E,0.7328431862909941,0.6149991312146942,0.11784405507629998,0.14380077075150638,3,0,0.048828125,1.0
well_joint,7,rmse_p,final_accuracy,rank_optimized_joint,0.2511234336682329,0.2986720439639373,-0.04754861029570438,-0.0531883208158144,8,0,0.064453125,1.0
well_joint,7,rmse_so,final_accuracy,rank_optimized_joint,0.00090286795038809,0.00098378684426469,-8.091889387660002e-05,-0.00010913154426514998,8,0,0.322265625,1.0
well_joint,7,score,final_accuracy,rank_optimized_joint,0.6873520719615233,0.7806756298648568,-0.09332355790333366,-0.09925017126558372,7,0,0.193359375,1.0
well_joint,7,rmse_p,final_accuracy,original_basis_optimized_recovery,0.2511234336682329,13.861858857812376,-13.610735424144142,-11.299581184091434,10,0,0.001953125,0.703125
well_joint,7,rmse_so,final_accuracy,original_basis_optimized_recovery,0.00090286795038809,0.05694424484261533,-0.05604137689222725,-0.07070955593374656,10,0,0.001953125,0.703125
well_joint,7,score,final_accuracy,original_basis_optimized_recovery,0.6873520719615233,46.45977949335056,-45.77242742138903,-51.90964992165179,10,0,0.001953125,0.703125
well_joint,7,rmse_p,final_accuracy,prior+IDW,0.2511234336682329,0.4592420019557905,-0.20811856828755765,-0.19004642777024625,9,0,0.005859375,1.0
well_joint,7,rmse_so,final_accuracy,prior+IDW,0.00090286795038809,0.00202397197150802,-0.0011211040211199302,-0.0012074531937824502,9,0,0.00390625,0.703125
well_joint,7,score,final_accuracy,prior+IDW,0.6873520719615233,1.424488230648121,-0.7371361586865979,-0.8114615281487475,9,0,0.00390625,0.703125
well_joint,8,rmse_p,final_accuracy,POD-E,0.33989947027567435,0.22473547591973167,0.11516399435594267,0.04747460800732439,3,0,0.048828125,1.0
well_joint,8,rmse_so,final_accuracy,POD-E,0.0011045215909398502,0.00068395458493732,0.00042056700600253007,0.00015460897189245002,0,0,0.001953125,0.703125
well_joint,8,score,final_accuracy,POD-E,0.833987187569101,0.5208322312758706,0.3131549562932304,0.17011091583404545,0,0,0.001953125,0.703125
well_joint,8,rmse_p,final_pareto,POD-E,0.24072823063966436,0.22473547591973167,0.01599275471993272,0.00152719704207184,5,0,0.556640625,1.0
