fold,sensing,placement,N,basis,estimator,sigma_p,sigma_so,draw,rmse_p,rmse_so
P2-run1,wells-joint,DG-POD,10,none,IDW,0.1,0.005,7,0.7365443287834582,0.00244240672397179
P2-run1,wells-joint,DG-POD,10,POD,LS,0.1,0.005,7,1.0696487888030322,0.001990198897933196
P2-run1,wells-joint,DG-POD,10,POD,L1,0.1,0.005,7,13.668431828454828,0.023960759381961027
P2-run1,wells-joint,DG-POD,10,none,IDW,0.1,0.005,8,0.7356266712236579,0.002356540851130651
P2-run1,wells-joint,DG-POD,10,POD,LS,0.1,0.005,8,1.1696021210412852,0.0020655345665192516
P2-run1,wells-joint,DG-POD,10,POD,L1,0.1,0.005,8,13.677056275693943,0.023871499477414498
P2-run1,wells-joint,DG-POD,10,none,IDW,0.1,0.005,9,0.7372580508162454,0.0022954149420599886
P2-run1,wells-joint,DG-POD,10,POD,LS,0.1,0.005,9,1.1068190631876538,0.0019829388606776425
P2-run1,wells-joint,DG-POD,10,POD,L1,0.1,0.005,9,13.681640501333286,0.023996182928754238
P2-run1,wells-joint,DG-POD,10,none,IDW,0.5,0.01,0,0.7674116716867911,0.004798115871307485
P2-run1,wells-joint,DG-POD,10,POD,LS,0.5,0.01,0,2.296539648620285,0.0037655254091900994
P2-run1,wells-joint,DG-POD,10,POD,L1,0.5,0.01,0,13.707663064949676,0.023836934329697135
P2-run1,wells-joint,DG-POD,10,none,IDW,0.5,0.01,1,0.7581534599564846,0.004614521659380832
P2-run1,wells-joint,DG-POD,10,POD,LS,0.5,0.01,1,2.3006664764190665,0.0036075092500612543
P2-run1,wells-joint,DG-POD,10,POD,L1,0.5,0.01,1,13.71371278830112,0.024037079231297137
P2-run1,wells-joint,DG-POD,10,none,IDW,0.5,0.01,2,0.7693465683352524,0.004548214579980262
P2-run1,wells-joint,DG-POD,10,POD,LS,0.5,0.01,2,2.0921173284205845,0.0036280617542457636
P2-run1,wells-joint,DG-POD,10,POD,L1,0.5,0.01,2,13.681045666227396,0.023907526311012405
P2-run1,wells-joint,DG-POD,10,none,IDW,0.5,0.01,3,0.7737000357534864,0.0047797464365042916
P2-run1,wells-joint,DG-POD,10,POD,LS,0.5,0.01,3,2.2213191770601535,0.003823858833212669
P2-run1,wells-joint,DG-POD,10,POD,L1,0.5,0.01,3,13.746993760400956,0.023921019017566828
P2-run1,wells-joint,DG-POD,10,none,IDW,0.5,0.01,4,0.7530438374180946,0.004496536087515341
P2-run1,wells-joint,DG-POD,10,POD,LS,0.5,0.01,4,2.3933466678561057,0.003781835680157949
P2-run1,wells-joint,DG-POD,10,POD,L1,0.5,0.01,4,13.763399062781364,0.023913054650277394
P2-run1,wells-joint,DG-POD,10,none,IDW,0.5,0.01,5,0.7598798900600393,0.004566322372803512
P2-run1,wells-joint,DG-POD,10,POD,LS,0.5,0.01,5,2.3154612521297793,0.003672100780840342
P2-run1,wells-joint,DG-POD,10,POD,L1,0.5,0.01,5,13.738504457681138,0.024145740769210614
P2-run1,wells-joint,DG-POD,10,none,IDW,0.5,0.01,6,0.7580696608900077,0.004640277449131017
P2-run1,wells-joint,DG-POD,10,POD,LS,0.5,0.01,6,2.274676482268685,0.003698409329178225
P2-run1,wells-joint,DG-POD,10,POD,L1,0.5,0.01,6,13.719185043767286,0.024154382777293683
P2-run1,wells-joint,DG-POD,10,none,IDW,0.5,0.01,7,0.7642514656592909,0.004453413198422418
P2-run1,wells-joint,DG-POD,10,POD,LS,0.5,0.01,7,2.2036032349710295,0.0038194850189412436
P2-run1,wells-joint,DG-POD,10,POD,L1,0.5,0.01,7,13.689595762493932,0.02392574855246171
P2-run1,wells-joint,DG-POD,10,none,IDW,0.5,0.01,8,0.7547994334627898,0.004607054736019474
P2-run1,wells-joint,DG-POD,10,POD,LS,0.5,0.01,8,2.3591999606091645,0.003992388010106477
P2-run1,wells-joint,DG-POD,10,POD,L1,0.5,0.01,8,13.701736985270976,0.024011153978739434
P2-run1,wells-joint,DG-POD,10,none,IDW,0.5,0.01,9,0.7655327839421707,0.004199962714673739
P2-run1,wells-joint,DG-POD,10,POD,LS,0.5,0.01,9,2.1313774322253716,0.003401868745513177
P2-run1,wells-joint,DG-POD,10,POD,L1,0.5,0.01,9,13.676041070705221,0.023866009607865193
P2-run1,wells-joint,DG-POD,10,none,IDW,1.0,0.02,0,0.8281556253144687,0.008774724786191278
P2-run1,wells-joint,DG-POD,10,POD,LS,1.0,0.02,0,4.294010501194601,0.007463139977340942
P2-run1,wells-joint,DG-POD,10,POD,L1,1.0,0.02,0,13.74229136434467,0.02389751800175324
P2-run1,wells-joint,DG-POD,10,none,IDW,1.0,0.02,1,0.8509489169205405,0.008992448344955549
P2-run1,wells-joint,DG-POD,10,POD,LS,1.0,0.02,1,4.430080119881901,0.007267135733557004
P2-run1,wells-joint,DG-POD,10,POD,L1,1.0,0.02,1,13.711640019998836,0.023848248047289716
P2-run1,wells-joint,DG-POD,10,none,IDW,1.0,0.02,2,0.8827087634443561,0.008907625865203952
P2-run1,wells-joint,DG-POD,10,POD,LS,1.0,0.02,2,4.286830255398411,0.007212419941198398
P2-run1,wells-joint,DG-POD,10,POD,L1,1.0,0.02,2,13.66095417353666,0.023589043049594194
P2-run1,wells-joint,DG-POD,10,none,IDW,1.0,0.02,3,0.8183559436865809,0.008898597135165187
P2-run1,wells-joint,DG-POD,10,POD,LS,1.0,0.02,3,4.1860155416142995,0.007427921861871957
P2-run1,wells-joint,DG-POD,10,POD,L1,1.0,0.02,3,13.800709891090087,0.024264951127800537
P2-run1,wells-joint,DG-POD,10,none,IDW,1.0,0.02,4,0.8401106472686664,0.008695100475884362
P2-run1,wells-joint,DG-POD,10,POD,LS,1.0,0.02,4,4.268164099428598,0.007166843940545958
P2-run1,wells-joint,DG-POD,10,POD,L1,1.0,0.02,4,13.74510656144384,0.024044811290489628
P2-run1,wells-joint,DG-POD,10,none,IDW,1.0,0.02,5,0.8583048790660891,0.008999128502909985
P2-run1,wells-joint,DG-POD,10,POD,LS,1.0,0.02,5,4.00400698582186,0.007361110660777522
P2-run1,wells-joint,DG-POD,10,POD,L1,1.0,0.02,5,13.715502869251473,0.024296327367988143
P2-run1,wells-joint,DG-POD,10,none,IDW,1.0,0.02,6,0.8171693993989617,0.00894106225217534
P2-run1,wells-joint,DG-POD,10,POD,LS,1.0,0.02,6,4.533062266657858,0.0075730263738375434
P2-run1,wells-joint,DG-POD,10,POD,L1,1.0,0.02,6,13.784004020129723,0.023836347342202635
P2-run1,wells-joint,DG-POD,10,none,IDW,1.0,0.02,7,0.8553913843922165,0.008704580963955273
P2-run1,wells-joint,DG-POD,10,POD,LS,1.0,0.02,7,4.027247789436433,0.006708960448052171
P2-run1,wells-joint,DG-POD,10,POD,L1,1.0,0.02,7,13.779089162430882,0.024058044112512184
P2-run1,wells-joint,DG-POD,10,none,IDW,1.0,0.02,8,0.8378784538543741,0.008836774093603525
P2-run1,wells-joint,DG-POD,10,POD,LS,1.0,0.02,8,4.442914049453411,0.007139286110189509
P2-run1,wells-joint,DG-POD,10,POD,L1,1.0,0.02,8,13.831784648539497,0.02381280360236099
P2-run1,wells-joint,DG-POD,10,none,IDW,1.0,0.02,9,0.8173467817808041,0.009376491569379398
P2-run1,wells-joint,DG-POD,10,POD,LS,1.0,0.02,9,4.158503700283075,0.007475260519773448
P2-run1,wells-joint,DG-POD,10,POD,L1,1.0,0.02,9,13.725497210652982,0.02408381904532482
P2-run1,wells-joint,DG-POD,10,none,IDW,2.0,0.05,0,1.0992185707140687,0.022313505260812896
P2-run1,wells-joint,DG-POD,10,POD,LS,2.0,0.05,0,11.543542332522483,0.019026923684015873
P2-run1,wells-joint,DG-POD,10,POD,L1,2.0,0.05,0,14.004293303096317,0.024010533271877032
P2-run1,wells-joint,DG-POD,10,none,IDW,2.0,0.05,1,1.116573696819416,0.021480444839986835
P2-run1,wells-joint,DG-POD,10,POD,LS,2.0,0.05,1,10.33059324652852,0.017467343087835
P2-run1,wells-joint,DG-POD,10,POD,L1,2.0,0.05,1,14.175539573652628,0.023832083145064648
P2-run1,wells-joint,DG-POD,10,none,IDW,2.0,0.05,2,1.1786863660322209,0.020948156824050136
P2-run1,wells-joint,DG-POD,10,POD,LS,2.0,0.05,2,10.477533499061163,0.01782351451663513
