sensing,placement,N,basis,estimator,sigma_p,rmse_p_mean,rmse_p_std,rmse_so_mean,rmse_so_std
wells-joint,configured,10,POD-E,LS,1.0,187.96666085854224,62.68631965028278,0.2386221862049145,0.11914750423393672
wells-joint,configured,10,POD-E,LS,2.0,458.1582205127138,156.9939204167425,0.5789202577383535,0.29180097997454774
wells-joint,configured,10,TBMD,L1,0.0,0.4713936276702797,0.06966610794961382,0.004686479430556461,9.84561003155694e-05
wells-joint,configured,10,TBMD,L1,0.1,0.47422005631740954,0.06984628473712746,0.004803767804946233,8.04396094335657e-05
wells-joint,configured,10,TBMD,L1,0.5,0.5233585321690584,0.06712771797939707,0.005168347095345124,5.390159673999838e-05
wells-joint,configured,10,TBMD,L1,1.0,0.6513948380071328,0.06559696680176207,0.006635090357483034,0.0001050735638682605
wells-joint,configured,10,TBMD,L1,2.0,1.1044675789438831,0.05797843428235393,0.013407466689904095,0.00026524739030188725
wells-joint,configured,10,TBMD,LS,0.0,6.815707750281621,6.018150561792408,0.01787359291871769,0.011529274158345083
wells-joint,configured,10,TBMD,LS,0.1,9.759584621630628,6.040049892140949,0.029384031393481513,0.011974193418126177
wells-joint,configured,10,TBMD,LS,0.5,17.69025278324121,7.935237899498291,0.05273372370039429,0.01710205206539029
wells-joint,configured,10,TBMD,LS,1.0,33.56541103681922,13.814850254629773,0.10061558597077262,0.030859547374264485
wells-joint,configured,10,TBMD,LS,2.0,78.85606587131014,33.75218146221471,0.24201443654729723,0.07351360457969515
wells-joint,configured,10,none,IDW,0.0,0.37216103152593316,0.16294011568199449,0.00086543618197028,0.0001721178462309422
wells-joint,configured,10,none,IDW,0.1,0.37678445730812954,0.16124504324812078,0.00263099067133797,7.656884798057381e-05
wells-joint,configured,10,none,IDW,0.5,0.46077559381573374,0.135970639147783,0.004980131839206784,5.442400180380264e-05
wells-joint,configured,10,none,IDW,1.0,0.6344207822939368,0.10585047269513484,0.009841635859803594,0.00010120759766625216
wells-joint,configured,10,none,IDW,2.0,1.065240733117464,0.06498866211359801,0.024367292017159058,0.00023803094581903092
wells-joint,configured,30,POD,L1,0.0,1.0358683785574756,0.237339753396478,0.00635765194132476,0.0014647026808054578
wells-joint,configured,30,POD,L1,0.1,1.0366812930715839,0.2366925868674684,0.00636450714621047,0.0014644687297886518
wells-joint,configured,30,POD,L1,0.5,1.045019220962274,0.2345214047885219,0.006389806193644899,0.001441451771324405
wells-joint,configured,30,POD,L1,1.0,1.0736688906114338,0.22519889218671088,0.006486027844981576,0.0013736529737204128
wells-joint,configured,30,POD,L1,2.0,1.2067133042287845,0.20106274153956494,0.007621726385929133,0.0009506122168749653
wells-joint,configured,30,POD,LS,0.0,0.178605736018707,0.08705022377452395,0.0007447020258177599,0.0001866257197337872
wells-joint,configured,30,POD,LS,0.1,0.19589421541688307,0.07724788497524027,0.001096977329138502,0.0001209086782552879
wells-joint,configured,30,POD,LS,0.5,0.3698915912774499,0.03375857598071247,0.0017921212082350059,6.939269442891758e-05
wells-joint,configured,30,POD,LS,1.0,0.6722933409258639,0.01135166617075296,0.003312237604629048,7.014245084724174e-05
wells-joint,configured,30,POD,LS,2.0,1.3462038795201416,0.04492848549532759,0.007935141487392565,0.00019362731046596645
wells-joint,configured,30,POD-E,L1,0.0,0.19009496542298635,0.03289956667563592,0.0008692704337590399,0.00012304666306709247
wells-joint,configured,30,POD-E,L1,0.1,0.19197913536801892,0.03296221793101249,0.001068293896241212,0.00011071841421905122
wells-joint,configured,30,POD-E,L1,0.5,0.23852546112005818,0.033743295616408146,0.001510503531278024,9.748958216802825e-05
wells-joint,configured,30,POD-E,L1,1.0,0.35690165573469657,0.027465905203769625,0.002640057016251863,5.142536358167686e-05
wells-joint,configured,30,POD-E,L1,2.0,0.7329990098350028,0.020174854091819086,0.006572372019456737,9.733718968106459e-05
wells-joint,configured,30,POD-E,LS,0.0,0.17860573601870597,0.08705022377451735,0.0007447020258177499,0.0001866257197337743
wells-joint,configured,30,POD-E,LS,0.1,0.19589421541688307,0.07724788497523306,0.001096977329138508,0.00012090867825527683
wells-joint,configured,30,POD-E,LS,0.5,0.36989159127744864,0.03375857598071152,0.0017921212082350102,6.939269442892227e-05
wells-joint,configured,30,POD-E,LS,1.0,0.6722933409258638,0.011351666170753536,0.0033122376046290556,7.014245084724137e-05
wells-joint,configured,30,POD-E,LS,2.0,1.3462038795201412,0.044928485495328185,0.00793514148739263,0.00019362731046596127
wells-joint,configured,30,TBMD,L1,0.0,0.43231871815049167,0.06033738423636439,0.00425074497419094,2.365316418593749e-05
wells-joint,configured,30,TBMD,L1,0.1,0.4335093209036701,0.060157242939802964,0.004303832008507999,2.410173564831188e-05
wells-joint,configured,30,TBMD,L1,0.5,0.45530746377590037,0.05735481311465495,0.004458890511830796,3.102688800803899e-05
wells-joint,configured,30,TBMD,L1,1.0,0.5266946539024143,0.049957202209837834,0.005038228935845436,3.099701201321239e-05
wells-joint,configured,30,TBMD,L1,2.0,0.8253345895991335,0.03743029675513673,0.008101545521237524,8.735729515164867e-05
wells-joint,configured,30,TBMD,LS,0.0,0.4323039149611293,0.049770537717864674,0.00424163912217312,3.177363223125108e-05
wells-joint,configured,30,TBMD,LS,0.1,0.44065079310098004,0.04856819694272878,0.004336606524963727,3.239038935554293e-05
wells-joint,configured,30,TBMD,LS,0.5,0.5413847528258374,0.03936828850629831,0.004636856788468421,4.0449701251417874e-05
wells-joint,configured,30,TBMD,LS,1.0,0.7725827943921109,0.03429391662912102,0.00562865446417136,7.346335391003454e-05
wells-joint,configured,30,TBMD,LS,2.0,1.3668432631400944,0.03994868187459599,0.00981279402500406,0.00019447663650908322
wells-joint,configured,30,none,IDW,0.0,0.3126941400566623,0.16468255193055137,0.00078002906950278,0.00019747896357316864
wells-joint,configured,30,none,IDW,0.1,0.3169081387170785,0.1623273241851354,0.002192119770699738,8.947342773518755e-05
wells-joint,configured,30,none,IDW,0.5,0.38665188763162545,0.1344202959324456,0.0041251992837410675,5.784875751933432e-05
wells-joint,configured,30,none,IDW,1.0,0.5305965088350704,0.10384106237420056,0.00811484926480819,4.3335449400584364e-05
wells-joint,configured,30,none,IDW,2.0,0.8787321231739569,0.0644554709627436,0.0201804184267581,6.408642280752086e-05
