fold,basis,sensing,N,epsilon,admm_iter,rmse_p,rmse_so
P2-run4,POD,grid,30,0.01,5000,1.8503918706677849,0.018983224461999678
P2-run4,POD,grid,30,0.1,5000,15.758831753000326,0.1393423436981479
P2-run4,POD,grid,30,0.0,0,0.10252148374817943,0.0007680627687669706
P2-run4,POD,grid,100,0.0001,3800,0.08183485819458168,0.000708224795459577
P2-run4,POD,grid,100,0.001,3760,0.12243724835360704,0.00084339097397515
P2-run4,POD,grid,100,0.01,3360,0.7230843894417692,0.006086210211424173
P2-run4,POD,grid,100,0.1,2600,4.25421950095573,0.041336211569705926
P2-run4,POD,grid,100,0.0,0,0.08671533183560647,0.0007108323424363758
P2-run4,POD,wells-joint,5,0.0001,5000,29.26521958754852,0.01706899879353864
P2-run4,POD,wells-joint,5,0.001,5000,28.54011860517948,0.017032163466091006
P2-run4,POD,wells-joint,5,0.01,5000,23.80910527521506,0.056936608868232166
P2-run4,POD,wells-joint,5,0.1,2610,29.653307245636594,0.27240077137579066
P2-run4,POD,wells-joint,5,0.0,0,29.354538211410386,0.017263776539003618
P2-run4,POD,wells-joint,10,0.0001,5000,25.84509679691272,0.009744286306509106
P2-run4,POD,wells-joint,10,0.001,5000,23.93360433975914,0.010255087857691017
P2-run4,POD,wells-joint,10,0.01,5000,12.332839509490759,0.02594018185610592
P2-run4,POD,wells-joint,10,0.1,5000,17.74318438203687,0.1414721842494618
P2-run4,POD,wells-joint,10,0.0,0,1.0953424363616153,0.0010918766871634885
P2-run4,POD,wells-joint,30,0.0001,5000,2.934529337834898,0.001942046740965745
P2-run4,POD,wells-joint,30,0.001,5000,1.9235343005679297,0.001521408217034647
P2-run4,POD,wells-joint,30,0.01,5000,0.8666264492393163,0.007516758906313287
P2-run4,POD,wells-joint,30,0.1,4090,6.519999947458143,0.05766922381830802
P2-run4,POD,wells-joint,30,0.0,0,0.19065892657081024,0.0008050182835235256
P2-run4,POD-E,grid,10,0.0001,5000,0.2863453473130534,0.0009354019779769524
P2-run4,POD-E,grid,10,0.001,5000,0.2949417767110341,0.0009305878207371984
P2-run4,POD-E,grid,10,0.01,670,0.33078842294103805,0.0016353748084848435
P2-run4,POD-E,grid,10,0.1,380,0.6101321946219469,0.004474633204369714
P2-run4,POD-E,grid,10,0.0,0,0.25502803605693025,0.0010183649797785867
P2-run4,POD-E,grid,30,0.0001,240,0.10112254099365298,0.0007770146677926995
P2-run4,POD-E,grid,30,0.001,220,0.1068684761079579,0.0007950139260363858
P2-run4,POD-E,grid,30,0.01,170,0.15091543611961933,0.0011043838920544492
P2-run4,POD-E,grid,30,0.1,220,0.41369211817239715,0.0029761689718240227
P2-run4,POD-E,grid,30,0.0,0,0.10071119544901685,0.0007776106364412111
P2-run4,POD-E,grid,100,0.0001,110,0.08675076737444608,0.0007138973293351532
P2-run4,POD-E,grid,100,0.001,100,0.08735536305977239,0.0007052917758299201
P2-run4,POD-E,grid,100,0.01,130,0.10688487833735992,0.0007245183031628804
P2-run4,POD-E,grid,100,0.1,2650,0.22628805684184247,0.0018205615035646332
P2-run4,POD-E,grid,100,0.0,0,0.08676124297735935,0.0007152252254578856
P2-run4,POD-E,wells-joint,5,0.0001,5000,0.40418225606644637,0.0007547043572033624
P2-run4,POD-E,wells-joint,5,0.001,2800,0.362182795106332,0.0008286109661652807
P2-run4,POD-E,wells-joint,5,0.01,60,0.31376877553893007,0.0019120789244392962
P2-run4,POD-E,wells-joint,5,0.1,630,0.6563401055629932,0.004289206533898049
P2-run4,POD-E,wells-joint,5,0.0,0,0.367219719355525,0.0007084275468985847
P2-run4,POD-E,wells-joint,10,0.0001,5000,0.4917680197807781,0.0007742554335179816
P2-run4,POD-E,wells-joint,10,0.001,2940,0.3706155362343596,0.0007251693945618855
P2-run4,POD-E,wells-joint,10,0.01,120,0.35655799466882915,0.0009029995332741701
P2-run4,POD-E,wells-joint,10,0.1,1290,0.5706773122524386,0.0028663843148222633
P2-run4,POD-E,wells-joint,10,0.0,0,0.48813168138897234,0.0008284078731323149
P2-run4,POD-E,wells-joint,30,0.0001,410,0.1801112818100545,0.0007952811969124086
P2-run4,POD-E,wells-joint,30,0.001,400,0.1368652598429151,0.0007439124740643386
P2-run4,POD-E,wells-joint,30,0.01,860,0.18493484338243407,0.000831653609992395
P2-run4,POD-E,wells-joint,30,0.1,270,0.3758410613066378,0.002338361103473624
P2-run4,POD-E,wells-joint,30,0.0,0,0.19065892657078418,0.0008050182835234894
P2-run4,TBMD,grid,10,0.0001,3120,0.5411514096759233,0.006516399831558999
P2-run4,TBMD,grid,10,0.001,890,0.5502094456424584,0.0064980094781654585
P2-run4,TBMD,grid,10,0.01,690,0.6008533921165,0.0066747069006385515
