protocol,fold,test_run,rank,sensing,placement,seed,N,basis,estimator,rmse_p,rmse_so,relerr,maxabs_p,noise_sd_bar,m,cond,sec_per_snapshot,admm_iter
P2,P2-run6,6,16,grid,random,20260936,5,none,IDW,0.7112374056702949,0.0008907735907678892,0.020451264875965807,2.7733876626095344,0.0,5.0,,,
P2,P2-run6,6,16,grid,random,20260936,5,POD,LS,25.16727517317351,0.15830826910727014,0.7756717067698755,54.553533555425766,0.0,5.0,9452.068399606434,7.00503815301603e-07,
P2,P2-run6,6,16,grid,random,20260936,5,POD,L1,13.694122797768118,0.11980876537805575,0.4484903501950654,21.65176032558237,0.0,5.0,,0.0034960673533772166,5000.0
P2,P2-run6,6,16,grid,random,20260936,5,POD-E,LS,1.428860843246663,0.0017536268052997619,0.041493204283832005,6.140535123715282,0.0,5.0,4744710.585921125,1.3630975937624846e-06,
P2,P2-run6,6,16,grid,random,20260936,5,POD-E,L1,0.882630613969032,0.0034242496292607796,0.026948209516206304,3.6345288182311135,0.0,5.0,,6.193609026792859e-05,80.0
P2,P2-run6,6,16,grid,random,20260936,5,TBMD,LS,43.542748939142925,0.23710626963832226,1.3274196493552342,196.41228086994948,0.0,5.0,26495.970160110304,1.7985563263073004e-06,
P2,P2-run6,6,16,grid,random,20260936,5,TBMD,L1,1.009187325509815,0.005483499972257926,0.031591397068490255,7.1483747911129285,0.0,5.0,,0.0006440986843720163,80.0
P2,P2-run6,6,16,grid,random,20260936,10,none,IDW,0.5631226027660493,0.0008161513917431343,0.016176309990102052,2.6249347765027142,0.0,10.0,,,
P2,P2-run6,6,16,grid,random,20260936,10,POD,LS,12.611463379194351,0.08012556149568982,0.3887405880171502,113.34866334955387,0.0,10.0,inf,8.609022461998284e-07,
P2,P2-run6,6,16,grid,random,20260936,10,POD,L1,6.4302385725293005,0.05019304287959052,0.2077533365404259,8.588666371248918,0.0,10.0,,0.0035369479923712133,5000.0
P2,P2-run6,6,16,grid,random,20260936,10,POD-E,LS,2.007744307659723,0.0011234030987443276,0.05804620685974619,8.609130812172019,0.0,10.0,inf,7.2277592638633525e-06,
P2,P2-run6,6,16,grid,random,20260936,10,POD-E,L1,0.7694675223394635,0.0034940213751836267,0.024111828275590188,3.876893371060184,0.0,10.0,,3.510933847313649e-05,120.0
P2,P2-run6,6,16,grid,random,20260936,10,TBMD,LS,51.903450315594526,0.34868382638931705,1.6255581023125873,282.1484802956032,0.0,10.0,3.3875218983015456e+16,8.160978839277549e-07,
P2,P2-run6,6,16,grid,random,20260936,10,TBMD,L1,0.8848914154736335,0.006462026760420106,0.029618209970459414,7.07737203282248,0.0,10.0,,0.0001872305789370706,120.0
P2,P2-run6,6,16,grid,random,20260936,16,none,IDW,0.464977769932711,0.0008125654360550417,0.013355250471328017,2.3378067983146775,0.0,16.0,,,
P2,P2-run6,6,16,grid,random,20260936,16,POD,LS,8.401226945575196,0.06302210986622975,0.2656318209460028,94.72013483272778,0.0,16.0,inf,1.8443007641857055e-06,
P2,P2-run6,6,16,grid,random,20260936,16,POD,L1,4.200875755730663,0.03207116384362165,0.13718050685152294,6.534601805681387,0.0,16.0,,0.003965895368474277,5000.0
