protocol,fold,model,estimator,wells,channels,joint_rank,rank_pressure,rank_so,coefficients,rmse_p,rmse_so,admm_iterations
P2,P2-run7,independent-per-property,LS,10,20,16,16,16,32,0.34869259597468305,0.0015742377600592749,0
P2,P2-run7,independent-per-property,L1,10,20,16,16,16,32,0.31761542342215154,0.001661728089485462,40
P2,P2-run7,joint-4D,LS,30,60,16,16,16,16,0.35521916576738183,0.004247994905698882,0
P2,P2-run7,joint-4D,L1,30,60,16,16,16,16,0.39510802595635724,0.004255035584192222,220
P2,P2-run7,independent-equal-total,LS,30,60,16,8,8,16,0.3590813464564625,0.0006809249302238565,0
P2,P2-run7,independent-equal-total,L1,30,60,16,8,8,16,0.20692156570051534,0.0010118250379484602,150
P2,P2-run7,independent-per-property,LS,30,60,16,16,16,32,0.3430573755454197,0.0032323821885570296,0
P2,P2-run7,independent-per-property,L1,30,60,16,16,16,32,0.2068120596710426,0.0010116647683941185,540
P2,P2-run8,joint-4D,LS,10,20,16,16,16,16,8.390716425202612,0.024134984169975237,0
P2,P2-run8,joint-4D,L1,10,20,16,16,16,16,0.5116696624218435,0.004666294791558648,110
P2,P2-run8,independent-equal-total,LS,10,20,16,8,8,16,1.966945335178877,0.005742480751190711,0
P2,P2-run8,independent-equal-total,L1,10,20,16,8,8,16,0.3503304883986852,0.0015746870042869228,220
P2,P2-run8,independent-per-property,LS,10,20,16,16,16,32,0.47769260171361594,0.0016472184359370861,0
P2,P2-run8,independent-per-property,L1,10,20,16,16,16,32,0.35046407173520516,0.0015712768909916899,220
P2,P2-run8,joint-4D,LS,30,60,16,16,16,16,0.44369724374901215,0.004205118329116305,0
P2,P2-run8,joint-4D,L1,30,60,16,16,16,16,0.45487495698590646,0.004263758684112466,110
P2,P2-run8,independent-equal-total,LS,30,60,16,8,8,16,0.21478557522915556,0.0005382552570693006,0
P2,P2-run8,independent-equal-total,L1,30,60,16,8,8,16,0.2870567452188432,0.0008216292319548829,110
P2,P2-run8,independent-per-property,LS,30,60,16,16,16,32,0.29067964332224816,0.0011103797986271207,0
P2,P2-run8,independent-per-property,L1,30,60,16,16,16,32,0.2871998611595018,0.0008223354538879392,110
P2,P2-run9,joint-4D,LS,10,20,16,16,16,16,5.10936514995682,0.013621044334103254,0
P2,P2-run9,joint-4D,L1,10,20,16,16,16,16,0.6481673598814909,0.004537246518165465,260
P2,P2-run9,independent-equal-total,LS,10,20,16,8,8,16,10.804782921047384,0.009405102179470324,0
P2,P2-run9,independent-equal-total,L1,10,20,16,8,8,16,0.47644754363958114,0.0020468787049182898,290
P2,P2-run9,independent-per-property,LS,10,20,16,16,16,32,0.5122622662913183,0.001537479360392495,0
P2,P2-run9,independent-per-property,L1,10,20,16,16,16,32,0.4770469321602287,0.0020463297294807613,290
P2,P2-run9,joint-4D,LS,30,60,16,16,16,16,0.5433827725816578,0.004210269975224415,0
P2,P2-run9,joint-4D,L1,30,60,16,16,16,16,0.5931806956411908,0.004291086113553469,180
P2,P2-run9,independent-equal-total,LS,30,60,16,8,8,16,0.4207151120861624,0.0010865715603093939,0
P2,P2-run9,independent-equal-total,L1,30,60,16,8,8,16,0.4755374520004859,0.0015496750446797112,200
P2,P2-run9,independent-per-property,LS,30,60,16,16,16,32,0.48816416137647667,0.0020635282259461557,0
P2,P2-run9,independent-per-property,L1,30,60,16,16,16,32,0.47527635350557446,0.001552212085379033,440
P2,P2-run10,joint-4D,LS,10,20,16,16,16,16,2.746636353188851,0.011009590197099356,0
P2,P2-run10,joint-4D,L1,10,20,16,16,16,16,0.4238394433307488,0.004803648469040939,440
P2,P2-run10,independent-equal-total,LS,10,20,16,8,8,16,2.852442151597701,0.0073089682355951145,0
P2,P2-run10,independent-equal-total,L1,10,20,16,8,8,16,0.31281814627341253,0.001799754299235211,260
P2,P2-run10,independent-per-property,LS,10,20,16,16,16,32,0.3325858399373366,0.0020137473193683588,0
P2,P2-run10,independent-per-property,L1,10,20,16,16,16,32,0.31309243585985436,0.0017989977635035777,260
P2,P2-run10,joint-4D,LS,30,60,16,16,16,16,0.4713247946951426,0.004249426415355847,0
P2,P2-run10,joint-4D,L1,30,60,16,16,16,16,0.41309005202738464,0.0042316038878830176,440
P2,P2-run10,independent-equal-total,LS,30,60,16,8,8,16,0.21268066815097597,0.0007563586690063981,0
P2,P2-run10,independent-equal-total,L1,30,60,16,8,8,16,0.21171279307127294,0.000976121594500514,80
P2,P2-run10,independent-per-property,LS,30,60,16,16,16,32,0.25314479272307294,0.0012388910557034223,0
P2,P2-run10,independent-per-property,L1,30,60,16,16,16,32,0.21092731016045177,0.0009761726500174247,160
